prlName,prlLicensingActivityName,prlMainArea,prlStatus,prlStratigraphical,prlDateGranted,prlDateValidTo,prlOriginalArea,prlCurrentArea,prlPhaseCurrent,prlNpdidLicence,prlPartitionFrom,prlNPDIDPartitionFrom,prlAdditAreaTo,prlNPDIDAdditAreaTo,prlFactPageUrl,prlFactMapUrl,prlDateUpdated,prlDateUpdatedMax,DatesyncNPD
668,TFO2012,North sea,INACTIVE,NO,08.02.2013,08.02.2015,48,0,,22815873,,,,,https://factpages.sodir.no/licence/pageview/all/22815873,,31.01.2025,31.01.2025,09.09.2025
669,TFO2012,North sea,INACTIVE,NO,08.02.2013,08.02.2016,120,0,,22815914,,,,,https://factpages.sodir.no/licence/pageview/all/22815914,,31.01.2025,31.01.2025,09.09.2025
670,TFO2012,North sea,INACTIVE,NO,08.02.2013,08.02.2016,215,0,,22815949,,,,,https://factpages.sodir.no/licence/pageview/all/22815949,,31.01.2025,07.05.2025,09.09.2025
670 B,TFO2013,North sea,INACTIVE,NO,07.02.2014,08.02.2016,22,0,,24214557,,,670,22815949,https://factpages.sodir.no/licence/pageview/all/24214557,,31.01.2025,31.01.2025,09.09.2025
671,TFO2012,North sea,INACTIVE,NO,08.02.2013,08.02.2016,233,0,,22816003,,,,,https://factpages.sodir.no/licence/pageview/all/22816003,,31.01.2025,31.01.2025,09.09.2025
672,TFO2012,North sea,INACTIVE,NO,08.02.2013,08.08.2017,101,0,,22816061,,,,,https://factpages.sodir.no/licence/pageview/all/22816061,,31.01.2025,11.08.2025,09.09.2025
673,TFO2012,North sea,INACTIVE,NO,08.02.2013,08.02.2016,57,0,,22816103,,,,,https://factpages.sodir.no/licence/pageview/all/22816103,,31.01.2025,31.01.2025,09.09.2025
674,TFO2012,North sea,INACTIVE,YES OR PARTLY,08.02.2013,08.02.2016,1027,0,,22816134,,,,,https://factpages.sodir.no/licence/pageview/all/22816134,,31.01.2025,31.01.2025,09.09.2025
674 BS,TFO2012,North sea,INACTIVE,YES OR PARTLY,28.10.2014,28.10.2017,80,0,,25308084,674,22816134,,,https://factpages.sodir.no/licence/pageview/all/25308084,,31.01.2025,07.05.2025,09.09.2025
674 CS,TFO2014,North sea,INACTIVE,YES OR PARTLY,06.02.2015,20.01.2018,163,0,,25611622,,,674 BS,25308084,https://factpages.sodir.no/licence/pageview/all/25611622,,31.01.2025,31.01.2025,09.09.2025
675,TFO2012,North sea,INACTIVE,NO,08.02.2013,08.11.2015,242,0,,22816217,,,,,https://factpages.sodir.no/licence/pageview/all/22816217,,31.01.2025,31.01.2025,09.09.2025
676 BS,TFO2014,North sea,INACTIVE,YES OR PARTLY,06.02.2015,08.06.2015,127,0,,25611644,,,676 S,22816262,https://factpages.sodir.no/licence/pageview/all/25611644,,31.01.2025,31.01.2025,09.09.2025
676 S,TFO2012,North sea,INACTIVE,YES OR PARTLY,08.02.2013,08.06.2015,523,0,,22816262,,,,,https://factpages.sodir.no/licence/pageview/all/22816262,,31.01.2025,07.05.2025,09.09.2025
